kvk,naam,boekjaar,accountant
34258788,GVB Holding N.V.,2024,KPMG
34259718,GVB Veren B.V.,2024,KPMG
16057665,GXO LOGISTICS NETHERLANDS B.V.,2024,KPMG
73364541,GXO LOGISTICS NETHERLANDS III B.V.,2024,KPMG
71492178,GXT Holding B.V.,2024,KPMG
12023584,H.E. Investments B.V.,2024,KPMG
33147823,Haleon Netherlands B.V.,2024,KPMG
83222561,Haleon Netherlands Capital B.V.,2024,KPMG
24245132,Handelsveem Beheer B.V.,2024,KPMG
56440057,Hanon Systems Netherlands Coöperatief U.A.,2024,KPMG
75315122,Hanshow Netherlands B.V.,2024,KPMG
23081051,Harman Consumer Nederland B.V.,2024,KPMG
34286328,Hasbro Emerging Markets B.V.,2024,KPMG
24316375,Hasbro International Holdings B.V.,2024,KPMG
27215340,Hatek Lastechniek B.V.,2024,PwC; KPMG
90568060,Haven Ventures B.V.,2024,KPMG
24108317,Havensteder,2024,KPMG
58805206,HCL Technologies B.V.,2024,KPMG
64006492,HD Hyundai Marine Solution Europe B.V.,2024,KPMG
34392869,Heerema Fabrication Group SE,2024,KPMG
51363364,Heerema Marine Contractors Americas B.V.,2024,KPMG
50360965,Heerema Marine Contractors Finance B.V.,2024,KPMG
58180303,Heerema Marine Contractors Holding Nederland SE,2024,KPMG
27381615,Heerema Marine Contractors Holding SE,2024,KPMG
58180362,Heerema Marine Contractors Nederland SE,2024,KPMG
53256468,Heerema Marine Contractors Services B.V.,2024,KPMG
86104381,Heerema Offshore Energy Solutions S.E.,2024,KPMG
22024277,Heerema Vlissingen B.V.,2024,KPMG
33108838,Heidelberg Benelux B.V.,2024,KPMG
16054862,Heidelberg Boxmeer B.V.,2024,KPMG
80540716,Heinenoord Invest B.V.,2024,KPMG
30000376,Hella Benelux B.V.,2024,KPMG
24134013,Hellmann Holding B.V.,2024,KPMG
24085584,Hellmann Worldwide Logistics B.V.,2024,KPMG
09079231,Hellmann Worldwide Logistics Transport B.V.,2024,KPMG
71112200,HES International B.V.,2024,KPMG
94899169,Hevea International B.V.,2024,KPMG
34196753,Hirose Electric Europe B.V.,2024,KPMG
82719322,HMH,2024,KPMG
24412445,Holding Farm Frites B.V.,2024,KPMG
11010632,Holding Mol Buren B.V.,2024,KPMG
23044099,Holding Sarens Nederland B.V.,2024,KPMG
70288194,"Holdings Holanda Services, B.V.",2024,KPMG
08036180,Holland Colours N.V.,2024,KPMG
08046208,Holland Pigments B.V.,2024,KPMG
58653473,Holland Proton Therapy Centre,2024,KPMG
34126597,Home Credit N.V.,2024,KPMG
41225437,Hoofdkantoor,2024,KPMG
27336321,Hoofdkantoor Haagse Wijk- en WoonZorg,2024,KPMG
24280498,Hoogenboom Benelux,2024,KPMG
86704524,Hope Holdco B.V.,2024,KPMG
34056583,Hosokawa Micron B.V.,2024,KPMG
32079975,Hotel Breda,2024,KPMG
17065851,Hotel Veldhoven,2024,KPMG
08060403,Houdstermaatschappij Wilg B.V.,2024,KPMG
17050109,HQ Pack B.V.,2024,KPMG
85778699,HQ Pack Holding B.V.,2024,KPMG
27014495,HTM Personenvervoer N.V.,2024,KPMG
34219858,Huawei Technologies (Netherlands) B.V.,2024,KPMG
34270027,Huawei Technologies Coöperatief U.A.,2024,KPMG
33285749,Husqvarna Nederland B.V.,2024,KPMG
83100393,Hydro REIN Netherlands B.V.,2024,KPMG
33228945,Häagen-Dazs Nederland B.V.,2024,KPMG
18043034,I.D.B. Holland B.V.,2024,KPMG
14074337,i3D.net B.V.,2024,kpmg/mazars
51376490,ICL Europe Coöperatief U.A.,2024,KPMG
33180498,ICL Puriphos B.V.,2024,KPMG
24368280,IHC Merwede Holding B.V.,2024,KPMG
